time = 4992, robot_id = 3, x = 0.12, y = 0.09
time = 4992, robot_id = 4, x = 0.44, y = -0.07
time = 5056, robot_id = 0, x = -0.07, y = -0.19
time = 5056, robot_id = 1, x = 0.23, y = -0.44
time = 5056, robot_id = 2, x = 0.30, y = 0.01
time = 5056, robot_id = 3, x = 0.12, y = 0.08
time = 5056, robot_id = 4, x = 0.44, y = -0.08
time = 5120, robot_id = 0, x = -0.07, y = -0.19
time = 5120, robot_id = 1, x = 0.22, y = -0.44
time = 5120, robot_id = 2, x = 0.30, y = 0.01
time = 5120, robot_id = 3, x = 0.12, y = 0.08
time = 5120, robot_id = 4, x = 0.44, y = -0.08
time = 5184, robot_id = 0, x = -0.06, y = -0.18
time = 5184, robot_id = 1, x = 0.22, y = -0.44
time = 5184, robot_id = 2, x = 0.30, y = 0.00
time = 5184, robot_id = 3, x = 0.12, y = 0.07
time = 5184, robot_id = 4, x = 0.43, y = -0.09
time = 5248, robot_id = 0, x = -0.06, y = -0.18
time = 5248, robot_id = 1, x = 0.21, y = -0.45
time = 5248, robot_id = 2, x = 0.30, y = -0.00
time = 5248, robot_id = 3, x = 0.12, y = 0.07
time = 5248, robot_id = 4, x = 0.43, y = -0.09
time = 5312, robot_id = 0, x = -0.05, y = -0.18
time = 5312, robot_id = 1, x = 0.21, y = -0.45
time = 5312, robot_id = 2, x = 0.30, y = -0.00
time = 5312, robot_id = 3, x = 0.12, y = 0.06
time = 5312, robot_id = 4, x = 0.43, y = -0.10
time = 5376, robot_id = 0, x = -0.05, y = -0.18
time = 5376, robot_id = 1, x = 0.20, y = -0.45
time = 5376, robot_id = 2, x = 0.30, y = -0.01
time = 5376, robot_id = 3, x = 0.11, y = 0.06
time = 5376, robot_id = 4, x = 0.43, y = -0.10
time = 5440, robot_id = 0, x = -0.05, y = -0.18
time = 5440, robot_id = 1, x = 0.20, y = -0.45
time = 5440, robot_id = 2, x = 0.30, y = -0.02
time = 5440, robot_id = 3, x = 0.11, y = 0.05
time = 5440, robot_id = 4, x = 0.43, y = -0.11
time = 5504, robot_id = 0, x = -0.05, y = -0.18
time = 5504, robot_id = 1, x = 0.19, y = -0.46
time = 5504, robot_id = 2, x = 0.29, y = -0.02
time = 5504, robot_id = 3, x = 0.11, y = 0.04
time = 5504, robot_id = 4, x = 0.42, y = -0.12
time = 5568, robot_id = 0, x = -0.05, y = -0.18
time = 5568, robot_id = 1, x = 0.19, y = -0.46
time = 5568, robot_id = 2, x = 0.29, y = -0.03
time = 5568, robot_id = 3, x = 0.11, y = 0.04
time = 5568, robot_id = 4, x = 0.42, y = -0.12
time = 5632, robot_id = 0, x = -0.05, y = -0.18
time = 5632, robot_id = 1, x = 0.18, y = -0.46
time = 5632, robot_id = 2, x = 0.29, y = -0.03
time = 5632, robot_id = 3, x = 0.11, y = 0.03
time = 5632, robot_id = 4, x = 0.42, y = -0.13
time = 5696, robot_id = 0, x = -0.05, y = -0.18
time = 5696, robot_id = 1, x = 0.18, y = -0.46
time = 5696, robot_id = 2, x = 0.29, y = -0.04
time = 5696, robot_id = 3, x = 0.11, y = 0.03
time = 5696, robot_id = 4, x = 0.42, y = -0.13
time = 5760, robot_id = 0, x = -0.05, y = -0.18
time = 5760, robot_id = 1, x = 0.18, y = -0.46
time = 5760, robot_id = 2, x = 0.29, y = -0.04
time = 5760, robot_id = 3, x = 0.11, y = 0.02
time = 5760, robot_id = 4, x = 0.42, y = -0.14
time = 5824, robot_id = 0, x = -0.05, y = -0.18
time = 5824, robot_id = 1, x = 0.18, y = -0.46
time = 5824, robot_id = 2, x = 0.29, y = -0.04
time = 5824, robot_id = 3, x = 0.11, y = 0.02
time = 5824, robot_id = 4, x = 0.41, y = -0.14
time = 5888, robot_id = 0, x = -0.05, y = -0.18
time = 5888, robot_id = 1, x = 0.18, y = -0.46
time = 5888, robot_id = 2, x = 0.29, y = -0.05
time = 5888, robot_id = 3, x = 0.11, y = 0.01
time = 5888, robot_id = 4, x = 0.41, y = -0.15
time = 5952, robot_id = 0, x = -0.05, y = -0.18
time = 5952, robot_id = 1, x = 0.18, y = -0.46
time = 5952, robot_id = 2, x = 0.29, y = -0.05
time = 5952, robot_id = 3, x = 0.11, y = 0.00
time = 5952, robot_id = 4, x = 0.41, y = -0.15
time = 6016, robot_id = 0, x = -0.05, y = -0.18
time = 6016, robot_id = 1, x = 0.17, y = -0.46
time = 6016, robot_id = 2, x = 0.28, y = -0.06
time = 6016, robot_id = 3, x = 0.11, y = -0.00
time = 6016, robot_id = 4, x = 0.41, y = -0.16
time = 6080, robot_id = 0, x = -0.05, y = -0.18
time = 6080, robot_id = 1, x = 0.17, y = -0.46
time = 6080, robot_id = 2, x = 0.28, y = -0.06
time = 6080, robot_id = 3, x = 0.10, y = -0.01
time = 6080, robot_id = 4, x = 0.41, y = -0.16
time = 6144, robot_id = 0, x = -0.05, y = -0.18
time = 6144, robot_id = 1, x = 0.17, y = -0.46
time = 6144, robot_id = 2, x = 0.28, y = -0.07
time = 6144, robot_id = 3, x = 0.10, y = -0.01
time = 6144, robot_id = 4, x = 0.40, y = -0.17
time = 6208, robot_id = 0, x = -0.05, y = -0.18
time = 6208, robot_id = 1, x = 0.17, y = -0.46
time = 6208, robot_id = 2, x = 0.28, y = -0.07
time = 6208, robot_id = 3, x = 0.10, y = -0.02
time = 6208, robot_id = 4, x = 0.40, y = -0.17
time = 6272, robot_id = 0, x = -0.05, y = -0.18
time = 6272, robot_id = 1, x = 0.17, y = -0.46
time = 6272, robot_id = 2, x = 0.28, y = -0.07
